sex;prefecture;pop_total;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Male;Gifu-ken;960.436;6.277;6.664;7.233;7.331;7.889;8.120;8.147;8.589;8.668;9.096;9.083;9.078;9.410;9.352;9.301;9.492;9.776;10.266;9.992;9.333;9.783;9.545;9.521;9.410;9.106;9.143;8.923;9.000;8.923;8.762;9.282;9.596;9.810;9.997;10.162;10.469;10.913;11.008;11.057;11.276;11.934;12.351;12.993;13.304;13.977;14.966;15.607;15.623;15.543;14.904;14.532;13.873;13.864;13.525;10.235;13.535;12.297;12.129;11.817;11.642;11.811;11.938;11.627;11.166;11.873;12.026;12.114;13.006;13.673;14.047;15.391;17.206;17.361;15.185;9.221;10.067;11.679;10.987;10.862;10.316;9.392;7.451;7.463;7.364;6.666;5.957;5.026;4.541;3.836;3.284;2.717;2.161;1.685;1.211;946;642;436;250;159;104;155
Male;Shizuoka-ken;1.791.118;11.617;12.432;13.101;13.700;14.492;14.600;15.005;15.605;15.804;15.975;16.326;16.568;16.711;16.903;16.552;16.906;17.637;17.879;17.293;15.459;15.639;15.730;16.204;16.539;17.126;17.825;18.066;17.401;17.470;17.637;18.277;18.569;19.524;20.121;20.090;21.016;21.540;21.759;21.431;21.988;23.030;23.668;24.354;24.818;26.429;27.880;29.104;29.917;28.994;28.384;27.458;27.211;26.488;26.599;20.047;25.725;23.831;22.996;22.350;22.137;22.261;22.805;22.486;21.896;22.687;23.536;22.367;24.281;25.559;26.960;28.526;30.259;30.206;26.850;16.707;18.289;21.651;20.355;19.865;18.764;17.164;13.662;13.636;13.399;11.971;10.462;9.198;7.751;6.939;5.876;4.639;3.764;3.082;2.276;1.788;1.182;787;514;305;194;282
Male;Aichi-ken;3.761.502;29.025;29.954;31.150;31.670;33.115;33.593;33.302;34.105;34.555;35.383;35.147;35.307;35.860;35.774;34.794;34.547;35.948;36.013;38.756;40.619;41.410;41.544;43.403;44.540;44.811;45.761;45.965;44.422;44.811;44.208;45.284;45.148;46.072;47.065;46.932;48.136;49.693;49.313;48.964;49.707;51.516;52.327;53.203;54.989;58.171;60.853;65.191;66.261;65.347;63.316;60.604;59.040;58.262;56.469;43.091;53.766;49.270;47.681;45.082;42.794;41.543;41.845;39.918;37.724;39.483;39.419;38.940;41.169;42.372;44.482;48.991;54.614;53.651;48.943;32.046;34.355;39.808;36.976;37.593;34.682;31.149;25.041;24.564;23.381;21.336;18.038;15.680;12.912;11.214;9.120;7.151;5.731;4.516;3.246;2.457;1.628;1.053;678;407;259;348
Male;Mie-ken;864.475;5.805;6.032;6.443;6.534;6.970;7.088;7.098;7.392;7.653;7.904;7.893;7.942;8.088;8.188;8.206;8.192;8.671;8.927;8.423;7.955;8.134;8.165;8.429;8.670;8.695;9.078;9.056;8.658;8.569;8.718;8.848;9.100;9.394;9.483;9.509;9.696;10.400;10.191;10.202;10.233;10.633;11.233;11.656;12.015;12.772;13.360;14.111;14.539;14.326;13.754;13.281;12.620;12.770;12.595;9.349;12.400;11.689;11.420;10.845;10.572;10.585;10.806;10.508;9.900;10.535;10.912;10.660;11.281;11.748;12.273;13.255;14.570;14.679;13.225;7.808;8.601;10.446;9.922;9.638;8.946;8.117;6.469;6.681;6.447;6.104;5.170;4.613;4.000;3.584;2.973;2.470;1.989;1.555;1.145;842;574;310;232;130;75;125
Male;Shiga-ken;697.429;5.353;5.597;5.969;6.106;6.300;6.616;6.632;6.830;6.818;7.060;7.058;6.978;7.163;7.172;7.202;7.075;7.311;7.234;7.808;8.251;8.527;8.444;8.089;7.716;7.585;7.645;7.400;7.299;7.263;7.247;7.616;7.767;8.102;8.025;8.147;8.377;8.673;8.940;8.632;8.909;9.381;9.403;9.767;10.072;10.434;11.018;11.450;11.686;11.661;10.843;10.368;10.042;9.685;9.675;7.325;9.350;8.657;8.469;8.397;7.821;7.948;8.037;8.047;7.528;7.828;8.366;7.923;8.478;8.842;9.362;9.897;11.021;10.524;9.532;5.899;5.937;7.309;7.093;6.887;6.337;5.462;4.264;4.410;4.288;4.105;3.364;3.017;2.579;2.349;1.987;1.593;1.316;1.072;801;594;397;242;118;67;58;111
Male;Kyoto-fu;1.231.468;8.160;8.759;8.976;9.225;9.986;10.048;9.942;10.253;10.216;10.707;10.715;10.881;11.034;10.971;11.181;11.210;11.271;11.993;13.720;15.798;16.501;16.807;15.990;15.187;15.157;14.514;13.831;13.150;12.646;12.158;12.361;12.715;12.989;13.069;13.205;13.483;14.154;14.262;14.064;14.300;15.096;15.605;16.752;17.011;18.013;18.702;20.056;20.626;20.302;19.674;18.917;18.375;17.801;17.372;13.835;16.945;15.639;15.025;14.843;13.710;14.229;14.093;13.677;12.979;13.449;13.924;13.832;14.495;15.527;16.861;18.549;21.560;21.229;19.715;11.510;11.649;14.983;14.087;14.316;13.388;11.071;9.006;9.263;9.135;8.580;7.253;6.364;5.483;4.793;4.061;3.143;2.625;2.003;1.489;1.174;771;480;309;199;108;218
Male;Osaka-fu;4.235.956;31.012;31.602;33.050;33.201;34.007;34.882;34.543;35.390;36.016;36.136;37.227;37.268;38.305;37.645;37.660;37.810;38.611;39.342;43.493;46.847;48.163;48.572;48.906;49.027;49.530;49.024;48.618;47.822;47.439;46.701;47.488;46.943;48.035;48.944;49.110;49.438;51.039;51.929;51.279;51.508;53.810;54.710;57.668;59.600;63.018;66.673;72.736;74.278;74.410;73.123;70.846;69.408;66.562;64.753;51.010;62.341;56.568;54.371;51.980;48.529;47.951;47.304;44.953;42.260;44.270;45.345;45.937;48.509;51.156;55.280;58.682;67.898;66.681;63.498;37.750;40.653;49.564;46.375;48.616;46.246;38.551;31.934;31.493;30.322;28.085;23.081;19.196;16.761;14.264;10.965;8.521;6.848;5.429;3.705;2.798;1.891;1.246;741;465;296;480
Male;Hyogo-ken;2.599.756;18.588;19.284;20.209;21.385;22.234;22.589;22.794;23.152;23.617;24.242;24.232;24.385;25.147;24.995;24.665;24.732;25.450;26.013;26.362;26.593;26.528;26.518;26.625;25.412;24.953;25.048;25.230;24.765;24.962;24.968;25.674;26.512;27.078;27.731;28.542;29.192;30.245;30.794;30.361;30.951;32.207;33.148;34.738;35.915;38.097;40.485;43.208;44.040;43.475;41.945;40.799;40.257;38.989;38.316;29.865;36.744;34.388;33.665;32.471;31.353;31.044;31.803;30.761;29.755;31.348;31.790;31.690;33.632;34.976;37.255;39.189;44.920;43.871;41.212;24.281;25.840;31.008;28.955;29.592;28.100;23.049;19.261;19.235;18.730;17.777;15.222;12.655;11.714;10.031;8.251;6.547;5.239;4.308;3.069;2.349;1.602;1.119;647;414;260;393
Male;Nara-ken;623.926;3.972;4.411;4.651;4.676;4.982;5.275;5.118;5.447;5.562;5.608;5.678;5.841;5.753;6.018;6.004;6.145;6.510;6.652;6.883;6.748;6.787;6.520;6.233;5.881;5.517;5.350;5.155;5.241;5.248;5.431;5.452;5.694;6.067;6.006;6.202;6.425;6.753;6.685;6.834;6.814;7.062;7.448;7.969;8.130;8.630;9.148;9.788;10.126;10.150;9.516;9.295;9.079;8.989;8.959;6.759;8.767;8.138;7.980;7.750;7.345;7.529;7.794;7.687;7.302;7.762;7.996;8.124;8.742;9.178;9.774;10.213;11.473;11.570;10.801;6.198;6.748;8.483;7.923;8.305;7.889;6.548;5.324;5.286;5.210;4.922;4.065;3.447;2.926;2.554;2.177;1.718;1.415;1.075;776;608;425;286;172;99;57;88
Male;Wakayama-ken;435.051;2.900;2.920;3.137;3.343;3.398;3.637;3.532;3.653;3.762;3.792;3.907;3.944;4.114;3.965;4.006;4.162;4.311;4.525;4.112;3.767;3.714;3.628;3.746;3.625;3.629;3.777;3.709;3.743;3.954;3.848;3.899;4.044;4.275;4.467;4.561;4.466;4.726;4.766;4.821;4.649;4.924;5.018;5.564;5.624;6.117;6.339;6.841;6.893;6.810;6.684;6.466;6.151;6.093;6.028;4.604;6.173;5.721;5.757;5.793;5.399;5.723;5.964;5.759;5.613;5.998;6.098;5.956;6.293;6.610;7.069;7.366;8.366;8.249;7.551;4.169;4.509;5.769;5.328;5.550;5.183;4.341;3.637;3.643;3.686;3.369;2.882;2.557;2.406;2.047;1.659;1.419;1.232;967;692;506;337;227;160;97;51;80
